
project<,>/ˈprɒdʒekt/<,>/ˈprɑːdʒekt/<,>n.工程/n.课题/n.作业<,>The new highway project will start next month.<,>新的高速公路工程将于下个月开工。<,>Our group is working on a science project.<,>我们小组正在做一个科学课题。<,>She spent all weekend finishing her art project.<,>她花了整个周末完成她的美术作业。<,>pro(向前)+ject(投掷)→向前投→规划的项目<,>reject(v.拒绝)/inject(v.注射)/object(n.物体)

intention<,>/ɪnˈtenʃn/<,>/ɪnˈtɛnʃən/<,>n.打算/n.意图<,>He announced his intention to resign.<,>他宣布了辞职的打算。<,>Her good intentions didn't lead to good results.<,>她的善意意图并未带来好结果。<,>I have no intention of changing my plans.<,>我没有改变计划的意图。<,>in(进入)+tent(伸展)+ion→内心的伸展→意图<,>attention(n.注意力)/invention(n.发明)/extension(n.延伸)

equivalence<,>/ɪˈkwɪvələns/<,>/ɪˈkwɪvələns/<,>n.等值/n.相等<,>There's no exact equivalence between the two currencies.<,>这两种货币之间没有完全等值。<,>The equivalence of their test scores surprised everyone.<,>他们考试成绩的相等性让所有人惊讶。<,>Scientists proved the chemical equivalence of the compounds.<,>科学家证明了这些化合物的化学等价性。<,>equi(相等)+val(价值)+ence→等值<,>ambivalence(n.矛盾心理)/prevalence(n.流行)/vigilance(n.警觉)

negotiate<,>/nɪˈɡəʊʃieɪt/<,>/nɪˈɡoʊʃieɪt/<,>v.谈判/v.协商/v.交涉<,>The union will negotiate with management tomorrow.<,>工会明天将与资方谈判。<,>She successfully negotiated a higher salary.<,>她通过协商获得了更高薪资。<,>We're negotiating the terms of the contract.<,>我们正在交涉合同条款。<,>neg(否定)+oti(空闲)+ate→不让空闲→忙着协商<,>navigate(v.导航)/mitigate(v.减轻)/irritate(v.激怒)

disappointing<,>/ˌdɪsəˈpɔɪntɪŋ/<,>/ˌdɪsəˈpɔɪntɪŋ/<,>adj.令人失望的<,>The movie's ending was disappointing.<,>这部电影的结局令人失望。<,>His test results were disappointing compared to last time.<,>与上次相比，他的考试成绩令人失望。<,>The restaurant service was disappointing despite the high prices.<,>尽管价格高昂，餐厅服务却令人失望。<,>dis(否定)+appoint(任命)+ing→不被任命→失望的<,>appointing(adj.指定的)/disappointed(adj.感到失望的)/disappointment(n.失望)

alternative<,>/ɔːlˈtɜːnətɪv/<,>/ɔlˈtɝnətɪv/<,>n.代替品<,>We need to find an alternative energy source.<,>我们需要找到替代能源。<,>There's no alternative but to wait.<,>除了等待别无选择。<,>She chose the vegetarian alternative at the restaurant.<,>她在餐厅选择了素食替代品。<,>alter(改变)+native(本地的)→改变原本的→替代品<,>alternate(adj.交替的)/alteration(n.改变)/native(adj.本地的)

generous<,>/ˈdʒenərəs/<,>/ˈdʒɛnərəs/<,>adj.慷慨的<,>She's always generous with her time.<,>她总是慷慨地付出时间。<,>The generous donation helped build the new hospital wing.<,>慷慨的捐款帮助建造了医院新翼楼。<,>He gave a generous tip to the waiter.<,>他给了服务员丰厚的小费。<,>gener(产生)+ous(多)→产生很多→慷慨的<,>genius(n.天才)/genuine(adj.真实的)/generate(v.产生)

biological<,>/ˌbaɪəˈlɒdʒɪkəl/<,>/ˌbaɪəˈlɑːdʒɪkəl/<,>adj.生物的<,>Biological research has made great progress.<,>生物研究取得了巨大进展。<,>She studies biological sciences at university.<,>她在大学学习生物科学。<,>The museum has an interesting biological exhibit.<,>博物馆有个有趣的生物展览。<,>bio(生命)+log(学科)+ical→关于生命的学科→生物的<,>geological(adj.地质的)/psychological(adj.心理的)/ecological(adj.生态的)

strategy<,>/ˈstrætədʒi/<,>/ˈstrætədʒi/<,>n.策略/n.战略<,>The company needs a new marketing strategy.<,>公司需要新的营销策略。<,>His strategy for winning the game was brilliant.<,>他赢得比赛的策略很出色。<,>Military strategy requires careful planning.<,>军事战略需要周密计划。<,>strat(层)+egy(引导)→分层引导→策略<,>tactics(n.战术)/stratagem(n.计谋)/strategic(adj.战略的)
paradox<,>/ˈpærədɒks/<,>/ˈpærədɑːks/<,>n.悖论/n.自相矛盾<,>The statement 'I always lie' is a classic paradox.<,>“我总是说谎”是一个经典的悖论。<,>It's a paradox that standing is more tiring than walking.<,>站着比走路更累是一个矛盾的现象。<,>Her success is a paradox of hard work and luck.<,>她的成功是努力与运气并存的矛盾体。<,>para(旁边)+dox(观点)→矛盾观点<,>orthodox(adj.正统的)/paradigm(n.范例)  

primary<,>/ˈpraɪməri/<,>/ˈpraɪmeri/<,>adj.主要的/adj.基本的<,>Primary education is compulsory in most countries.<,>初级教育在大多数国家是强制性的。<,>The primary reason for his resignation was health issues.<,>他辞职的主要原因是健康问题。<,>Red, blue and yellow are primary colors.<,>红、蓝、黄是三原色。<,>prim(第一)+ary→首要的<,>preliminary(adj.初步的)/prime(adj.最好的)  

standpoint<,>/ˈstændpɔɪnt/<,>/ˈstændpɔɪnt/<,>n.立场<,>From an economic standpoint, the policy is flawed.<,>从经济角度来看，这个政策有缺陷。<,>Her standpoint on the issue was clearly stated.<,>她对这个问题的立场表述得很清楚。<,>We need to consider this from a historical standpoint.<,>我们需要从历史角度考虑这一点。<,>stand(站立)+point(点)→立足点<,>viewpoint(n.观点)/perspective(n.视角)  

grab<,>/ɡræb/<,>/ɡræb/<,>v.抢先/v.抢占/v.抢夺<,>He grabbed the last piece of cake.<,>他抢到了最后一块蛋糕。<,>The headline grabbed everyone's attention.<,>这个标题吸引了所有人的注意。<,>Let's grab a coffee before the meeting.<,>我们开会前抓紧喝杯咖啡吧。<,>拟声词，类似抓握的声音<,>grasp(v.抓紧)/snatch(v.夺走)  

crucial<,>/ˈkruːʃl/<,>/ˈkruːʃl/<,>adj.至关重要的<,>This decision is crucial to our future.<,>这个决定对我们的未来至关重要。<,>Timing is crucial in comedy.<,>喜剧中时机把握至关重要。<,>The witness provided crucial evidence.<,>目击者提供了关键证据。<,>cruc(十字形)+ial→处在十字路口的→关键的<,>critical(adj.批判的)/essential(adj.必要的)  

flaw<,>/flɔː/<,>/flɑː/<,>n.缺点/n.错误<,>There's a flaw in your logic.<,>你的逻辑有漏洞。<,>The diamond has a tiny flaw.<,>这颗钻石有个微小瑕疵。<,>Pride was his fatal flaw.<,>傲慢是他的致命缺点。<,>与flow(流动)对比记忆<,>defect(n.缺陷)/fault(n.过错)  

depressed<,>/dɪˈprest/<,>/dɪˈprest/<,>adj.萧条的/adj.沮丧的<,>She felt depressed after the failure.<,>失败后她感到沮丧。<,>The depressed area needs economic aid.<,>这个萧条的地区需要经济援助。<,>His voice sounded depressed.<,>他的声音听起来很消沉。<,>de(向下)+press(压)→情绪被压下<,>oppressed(adj.受压迫的)/suppressed(adj.被抑制的)  

obstacle<,>/ˈɒbstəkl/<,>/ˈɑːbstəkl/<,>n.阻碍<,>Lack of education is an obstacle to success.<,>缺乏教育是成功的障碍。<,>They overcame every obstacle.<,>他们克服了所有阻碍。<,>The fallen tree was an obstacle on the road.<,>倒下的树成了路障。<,>ob(反对)+sta(站立)+cle→站在反方向的东西<,>hindrance(n.妨碍)/barrier(n.屏障)  

automatic<,>/ˌɔːtəˈmætɪk/<,>/ˌɔːtəˈmætɪk/<,>adj.自动的<,>The doors are automatic.<,>这些门是自动的。<,>Breathing is an automatic process.<,>呼吸是自动的过程。<,>She got an automatic promotion.<,>她获得了自动晋升。<,>auto(自己)+mat(思考)+ic→自己思考的<,>automated(adj.自动化的)/manual(adj.手动的)  

passionate<,>/ˈpæʃənət/<,>/ˈpæʃənət/<,>adj.热情的<,>He's passionate about music.<,>他对音乐充满热情。<,>She gave a passionate speech.<,>她发表了激情演讲。<,>Their passionate kiss surprised everyone.<,>他们热烈的吻让所有人惊讶。<,>passion(激情)+ate→充满激情的<,>compassionate(adj.有同情心的)/impassioned(adj.激昂的)
gambling<,>/ˈɡæmblɪŋ/<,>/ˈɡæmblɪŋ/<,>n.赌博<,>Gambling is illegal in many countries.<,>赌博在许多国家是非法的。<,>He lost all his money through gambling.<,>他因赌博输光了所有的钱。<,>Online gambling can be addictive.<,>网络赌博可能会上瘾。<,>gam(game游戏)+bling(bling金钱)→用金钱玩游戏→赌博<,>gamble(v.赌博)/rambling(adj.漫无边际的/n.漫步)  

logic<,>/ˈlɒdʒɪk/<,>/ˈlɑːdʒɪk/<,>n.逻辑<,>Your argument lacks logic.<,>你的论点缺乏逻辑。<,>She has a logical mind.<,>她有一个逻辑清晰的头脑。<,>The detective used logic to solve the case.<,>侦探用逻辑推理破案。<,>log(言语/思维)+ic(学科)→思维的学科→逻辑<,>magic(n.魔术/魔法)/analogic(adj.类推的)  

theory<,>/ˈθɪəri/<,>/ˈθiːəri/<,>n.理论<,>Einstein's theory of relativity changed physics.<,>爱因斯坦的相对论改变了物理学。<,>In theory, this plan should work.<,>理论上这个计划应该可行。<,>Her research supports the theory.<,>她的研究支持这个理论。<,>theo(神)+ry→神的启示→理论<,>theorem(n.定理)/theology(n.神学)  

download<,>/ˌdaʊnˈləʊd/<,>/ˌdaʊnˈloʊd/<,>v.下载<,>You can download the app for free.<,>你可以免费下载这个应用。<,>The file is downloading slowly.<,>文件下载得很慢。<,>Download the document before the meeting.<,>开会前下载好文件。<,>down(向下)+load(装载)→向下装载→下载<,>upload(v.上传)/unload(v.卸货)  

signal<,>/ˈsɪɡnəl/<,>/ˈsɪɡnəl/<,>n.信号/v.发信号/打信号/示意<,>The traffic signal turned red.<,>交通信号灯变红了。<,>She signaled me to come closer.<,>她示意我靠近些。<,>The satellite sends signals to Earth.<,>卫星向地球发送信号。<,>sign(标记)+al→标记物→信号<,>signature(n.签名)/significant(adj.重要的)  

authoritative<,>/ɔːˈθɒrɪtətɪv/<,>/əˈθɔːrəteɪtɪv/<,>adj.权威的<,>This is an authoritative source of information.<,>这是权威的信息来源。<,>He spoke in an authoritative tone.<,>他用权威的语气说话。<,>The book provides authoritative guidance.<,>这本书提供权威指导。<,>author(作者)+itative→作者般的→权威的<,>authoritarian(adj.专制的)/authority(n.权威)  

smooth<,>/smuːð/<,>/smuːð/<,>adj.光滑的<,>The table has a smooth surface.<,>桌子表面很光滑。<,>She has smooth skin.<,>她的皮肤很光滑。<,>The car ride was very smooth.<,>乘车过程非常平稳。<,>smo(似"丝")+ooth(发音似"丝绸")→如丝绸般光滑<,>soothe(v.安抚)/tooth(n.牙齿)  

institution<,>/ˌɪnstɪˈtjuːʃən/<,>/ˌɪnstɪˈtuːʃən/<,>n.社会公共机构/制度/设立/制定<,>Harvard is a prestigious institution.<,>哈佛是一所著名学府。<,>Marriage is a social institution.<,>婚姻是一种社会制度。<,>The institution of new rules caused controversy.<,>新规则的制定引发了争议。<,>in(进入)+stitute(建立)+ion→建立起来的体系→机构<,>constitution(n.宪法)/substitution(n.替代)  

vehicle<,>/ˈviːəkəl/<,>/ˈviːhɪkəl/<,>n.车辆<,>Electric vehicles are environmentally friendly.<,>电动车对环境友好。<,>The truck is a large vehicle.<,>卡车是大型车辆。<,>Language is a vehicle for communication.<,>语言是交流的工具。<,>veh(运送)+icle(小东西)→运送的小东西→车辆<,>vessel(n.船只)/vesicle(n.小囊泡)  

plague<,>/pleɪɡ/<,>/pleɪɡ/<,>v.使困扰<,>The problem has plagued the company for years.<,>这个问题困扰公司多年。<,>Mosquitoes plagued the campers.<,>蚊子困扰着露营者。<,>He was plagued by doubts.<,>他被疑虑所困扰。<,>plag(打击)+ue→不断打击→困扰<,>plaque(n.匾额)/vague(adj.模糊的)
psychological<,>/ˌsaɪkəˈlɒdʒɪkəl/<,>/ˌsaɪkəˈlɑːdʒɪkəl/<,>adj.心理上的<,>Psychological factors can influence physical health.<,>心理因素会影响身体健康。<,>She is studying psychological development in children.<,>她正在研究儿童心理发展。<,>The book explores the psychological effects of war.<,>这本书探讨了战争的心理影响。<,>psycho(心理)+logical(学科的)→心理学的<,>physiological(adj.生理的)/psychiatric(adj.精神病的)  

shade<,>/ʃeɪd/<,>/ʃeɪd/<,>n.阴凉处<,>Let's sit in the shade to avoid the sun.<,>我们坐在阴凉处避暑吧。<,>The trees provided welcome shade on a hot day.<,>树木在炎热天气里提供了宜人的阴凉。<,>She wore sunglasses to protect her eyes from the shade.<,>她戴太阳镜保护眼睛免受强光。<,>sha(谐音"遮")+de(的)→遮阳的地方→阴凉处<,>shadow(n.阴影)/shed(n.棚屋))  

persistent<,>/pəˈsɪstənt/<,>/pərˈsɪstənt/<,>adj.持续的/坚持的<,>Her persistent efforts finally led to success.<,>她坚持不懈的努力最终带来了成功。<,>He has a persistent cough that won't go away.<,>他咳嗽持续不好。<,>The persistent rain caused flooding in some areas.<,>持续的降雨导致部分地区洪水。<,>per(贯穿)+sist(站立)+ent→始终站立的→坚持的<,>insistent(adj.坚持的)/consistent(adj.一致的)  

voluntary<,>/ˈvɒləntri/<,>/ˈvɑːlənteri/<,>adj.自愿的/主动的<,>She does voluntary work at the local hospital.<,>她在当地医院做志愿工作。<,>Participation in the study is completely voluntary.<,>参与这项研究是完全自愿的。<,>He made a voluntary confession to the police.<,>他向警方主动坦白。<,>vol(意志)+untary→意志决定的→自愿的<,>involuntary(adj.非自愿的)/volunteer(n.志愿者))  

tolerance<,>/ˈtɒlərəns/<,>/ˈtɑːlərəns/<,>n.宽容/容忍<,>We should show tolerance towards different cultures.<,>我们应该对不同文化表现出宽容。<,>His tolerance for pain is remarkable.<,>他对疼痛的忍耐力惊人。<,>The plant has a high tolerance to drought.<,>这种植物耐旱性强。<,>toler(容忍)+ance(名词后缀)→容忍<,>intolerance(n.不宽容)/tolerate(v.容忍))  

senior<,>/ˈsiːniə(r)/<,>/ˈsiːnjər/<,>n.老年人<,>The senior citizens enjoy discounts at this store.<,>老年人在这家商店享受折扣。<,>She is a senior member of the research team.<,>她是研究团队的高级成员。<,>The senior class organized a charity event.<,>高年级班级组织了一次慈善活动。<,>sen(老)+ior→年长的<,>junior(adj.年少的)/senile(adj.衰老的))  

